task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512
conv2d_1,-1,-1,-1,-1,-1,-1,-1,-1,10305237,10315344,10308235,10303252,10297402
batch_normalization_1,16934088,16932951,16930847,16931553,16932871,16931555,16932952,16931553,-1,-1,-1,-1,-1
conv2d_2,-1,-1,-1,-1,-1,-1,-1,-1,6671741,59104867,29613276,14868245,7502207
batch_normalization_2,8485697,8483810,8484684,8484991,8483810,8484991,8483810,8484991,-1,-1,-1,-1,-1
conv2d_3,-1,-1,-1,-1,-1,-1,-1,-1,3951558,59246497,29756089,15010324,7637333
batch_normalization_3,4246845,4247503,4247903,4246504,4247503,4246504,4247503,4246504,-1,-1,-1,-1,-1
conv2d_4,-1,-1,-1,-1,-1,-1,-1,-1,2319065,29966876,15220468,7848441,4161455
batch_normalization_4,1071247,1071438,1069039,1071530,1071438,1071530,1071438,1071530,-1,-1,-1,-1,-1
conv2d_6,-1,-1,-1,-1,-1,-1,-1,-1,1786933,15609766,8238189,4552099,2708618
batch_normalization_6,545575,546918,544583,546776,546918,546776,546918,546776,-1,-1,-1,-1,-1
conv2d_7,-1,-1,-1,-1,-1,-1,-1,-1,6858820,89803362,45566326,23448506,12388859
batch_normalization_7,1070019,1071515,1066940,1070105,1071515,1070105,1071515,1070105,-1,-1,-1,-1,-1
conv2d_8,-1,-1,-1,-1,-1,-1,-1,-1,5972368,88916391,44679726,22562202,11502955
batch_normalization_8,2166926,2166534,2162183,2164068,2166534,2164068,2166534,2164068,-1,-1,-1,-1,-1
conv2d_9,-1,-1,-1,-1,-1,-1,-1,-1,9020846,88666128,44428930,22311063,11251492
batch_normalization_9,4317607,4317588,4318969,4318911,4317588,4318911,4317588,4318911,-1,-1,-1,-1,-1
conv2d_10,-1,-1,-1,-1,-1,-1,-1,-1,3748154,23116161,11596869,5836959,3752383
