task,Conv2DNS512,Conv2DNS1024,Conv2DNS256,Conv2DNS64,Conv2DNS128,DenseNS64,DenseNS32,DenseNS512,DenseNS1024,DenseNS256,DenseNS128,DenseNS16
block1_conv1,169344,84672,338688,1354752,677376,inf,inf,inf,inf,inf,inf,inf
block1_conv2,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block2_conv1,1806336,903168,3612672,14450688,7225344,inf,inf,inf,inf,inf,inf,inf
block2_conv2,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block3_conv1,1806336,903168,3612672,14450688,7225344,inf,inf,inf,inf,inf,inf,inf
block3_conv2,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block3_conv3,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block4_conv1,1806336,903168,3612672,14450688,7225344,inf,inf,inf,inf,inf,inf,inf
block4_conv2,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block4_conv3,3612672,1806336,7225344,28901376,14450688,inf,inf,inf,inf,inf,inf,inf
block5_conv1,903168,451584,1806336,7225344,3612672,inf,inf,inf,inf,inf,inf,inf
block5_conv2,903168,451584,1806336,7225344,3612672,inf,inf,inf,inf,inf,inf,inf
block5_conv3,903168,451584,1806336,7225344,3612672,inf,inf,inf,inf,inf,inf,inf
fc1,inf,inf,inf,inf,inf,1605632,3211264,200704,100352,401408,802816,6422528
fc2,inf,inf,inf,inf,inf,262144,524288,32768,16384,65536,131072,1048576
predictions,inf,inf,inf,inf,inf,64000,128000,8000,4000,16000,32000,256000
